Frecuencia [Hz],Zin [Ohm],Zin_p [deg]
0.1,159154943.0917459,90.00000000831795
0.10004606230728404,159081666.4057334,90.00000000832178
0.10009214583192959,159008423.45711294,90.00000000832561
0.10013825058370987,158935214.23035148,90.00000000832944
0.10018437657240259,158862038.70992315,90.00000000833329
0.10023052380778996,158788896.88030908,90.00000000833712
0.1002766922996587,158715788.7259977,90.00000000834096
0.10032288205780003,158642714.2314845,90.00000000834481
0.1003690930920097,158569673.3812722,90.00000000834865
0.10041532541208793,158496666.15987056,90.00000000835249
0.10046157902783952,158423692.55179653,90.00000000835634
0.10050785394907372,158350752.54157406,90.00000000836019
0.10055415018560433,158277846.11373448,90.00000000836404
0.10060046774724968,158204973.25281596,90.0000000083679
0.10064680664383259,158132133.943364,90.00000000837174
0.10069316688518044,158059328.16993117,90.00000000837561
0.10073954848112512,157986555.91707706,90.00000000837946
0.10078595144150305,157913817.16936842,90.00000000838332
0.10083237577615518,157841111.9113791,90.00000000838719
0.10087882149492698,157768440.12769014,90.00000000839104
0.10092528860766849,157695801.8028895,90.0000000083949
0.10097177712423425,157623196.92157245,90.00000000839877
0.10101828705448336,157550625.46834117,90.00000000840264
0.10106481840827947,157478087.42780504,90.00000000840653
0.10111137119549074,157405582.78458044,90.0000000084104
0.10115794542598991,157333111.52329087,90.00000000841426
0.10120454110965424,157260673.62856698,90.00000000841814
0.10125115825636556,157188269.08504644,90.00000000842202
0.10129779687601025,157115897.87737402,90.0000000084259
0.10134445697847923,157043559.99020135,90.00000000842978
0.101391138573668,156971255.4081875,90.00000000843366
0.10143784167147658,156898984.11599833,90.00000000843754
0.10148456628180959,156826746.09830683,90.00000000844143
0.10153131241457618,156754541.3397931,90.00000000844531
0.10157808007969009,156682369.82514417,90.0000000084492
0.10162486928706962,156610231.5390543,90.0000000084531
0.10167168004663764,156538126.4662246,90.000000008457
0.10171851236832156,156466054.59136334,90.00000000846089
0.1017653662620534,156394015.89918593,90.0000000084648
0.10181224173776975,156322010.37441456,90.00000000846869
0.10185913880541177,156250038.0017786,90.0000000084726
0.10190605747492519,156178098.76601452,90.00000000847649
0.10195299775626034,156106192.65186563,90.0000000084804
0.10199995965937211,156034319.6440825,90.0000000084843
0.10204694319422,155962479.7274225,90.00000000848821
0.10209394837076809,155890672.88665017,90.00000000849212
0.10214097519898503,155818899.10653698,90.00000000849603
0.1021880236888441,155747158.3718615,90.00000000849994
0.10223509385032313,155675450.66740912,90.00000000850386
0.10228218569340458,155603775.97797242,90.00000000850778
0.1023292992280755,155532134.28835097,90.0000000085117
0.10237643446432754,155460525.58335122,90.00000000851561
0.10242359141215693,155388949.84778675,90.00000000851954
0.10247077008156454,155317407.06647807,90.00000000852347
0.10251797048255583,155245897.22425264,90.00000000852738
0.10256519262514086,155174420.30594495,90.00000000853132
0.10261243651933431,155102976.2963965,90.00000000853525
0.10265970217515548,155031565.1804557,90.00000000853917
0.10270698960262828,154960186.94297796,90.00000000854311
0.10275429881178122,154888841.56882575,90.00000000854705
0.10280162981264745,154817529.04286835,90.00000000855098
0.10284898261526475,154746249.34998202,90.00000000855493
0.1028963572296755,154675002.47505024,90.00000000855886
0.1029437536659267,154603788.4029632,90.00000000856281
0.10299117193407002,154532607.11861804,90.00000000856674
0.10303861204416172,154461458.60691902,90.0000000085707
0.1030860740062627,154390342.85277715,90.00000000857464
0.10313355783043851,154319259.84111056,90.0000000085786
0.10318106352675932,154248209.5568442,90.00000000858255
0.10322859110529994,154177191.98491007,90.00000000858651
0.10327614057613985,154106207.11024705,90.00000000859045
0.10332371194936311,154035254.91780093,90.00000000859441
0.1033713052350585,153964335.3925245,90.00000000859838
0.10341892044331939,153893448.51937732,90.00000000860233
0.10346655758424382,153822594.28332615,90.00000000860629
0.10351421666793449,153751772.66934437,90.00000000861026
0.10356189770449874,153680983.66241255,90.00000000861422
0.10360960070404857,153610227.2475179,90.0000000086182
0.10365732567670062,153539503.40965483,90.00000000862217
0.10370507263257624,153468812.13382447,90.00000000862613
0.10375284158180138,153398153.4050349,90.00000000863011
0.1038006325345067,153327527.20830104,90.00000000863409
0.10384844550082752,153256933.52864483,90.00000000863805
0.1038962804909038,153186372.35109508,90.00000000864203
0.1039441375148802,153115843.66068742,90.00000000864603
0.10399201658290605,153045347.44246438,90.00000000865
0.10403991770513533,152974883.68147546,90.00000000865398
0.10408784089172674,152904452.36277702,90.00000000865796
0.10413578615284359,152834053.47143227,90.00000000866196
0.10418375349865396,152763686.9925112,90.00000000866594
0.10423174293933055,152693352.91109082,90.00000000866994
0.10427975448505077,152623051.21225506,90.00000000867394
0.1043277881459967,152552781.88109446,90.00000000867793
0.10437584393235515,152482544.90270674,90.00000000868192
0.10442392185431758,152412340.2621962,90.00000000868593
0.10447202192208015,152342167.94467428,90.00000000868992
0.10452014414584374,152272027.93525895,90.00000000869393
0.1045682885358139,152201920.21907532,90.00000000869794
0.10461645510220093,152131844.78125516,90.00000000870195
0.10466464385521976,152061801.60693717,90.00000000870595
0.10471285480509009,151991790.68126696,90.00000000870996
0.10476108796203629,151921811.9893968,90.00000000871397
0.10480934333628746,151851865.5164859,90.00000000871799
0.10485762093807739,151781951.2477003,90.000000008722
0.10490592077764462,151712069.16821298,90.00000000872602
0.10495424286523236,151642219.26320344,90.00000000873004
0.10500258721108857,151572401.5178584,90.00000000873406
0.10505095382546593,151502615.917371,90.00000000873808
0.10509934271862183,151432862.44694158,90.0000000087421
0.10514775390081837,151363141.09177697,90.00000000874613
0.10519618738232243,151293451.83709097,90.00000000875016
